|family|base|nr_appearances|freq_corpus|highlighted
0|NOUN|Arbeit|6|0.00037200000000000004|False
1|NOUN|Arbeiten|5|0.00037200000000000004|False
2|NOUN|Beispiel|3|0.00022400000000000002|False
3|NOUN|Das|5|0.0288|True
4|NOUN|Der|2|0.0288|True
5|NOUN|Die|7|0.0302|True
6|NOUN|Dies|4|0.000417|False
7|NOUN|Es|6|0.012|True
8|NOUN|Hinterkopf|3|4.47e-06|False
9|NOUN|Jahr|2|0.000692|False
10|NOUN|Kommunikation|7|3.55e-05|False
11|NOUN|Man|2|0.00288|False
12|NOUN|Meinung|3|0.000138|False
13|NOUN|Missverständnis|2|5.37e-06|False
14|NOUN|Person|6|0.000195|False
15|NOUN|Personen|4|0.000195|False
16|NOUN|Problem|4|0.000234|False
17|NOUN|Ruhe|4|7.76e-05|False
18|NOUN|Sie|3|0.012|True
19|NOUN|"Sie|sie"|3|0.012|True
20|NOUN|Tag|2|0.00049|False
21|NOUN|Wort|3|0.000166|False
22|NOUN|alle|4|0.00141|False
23|NOUN|ander|5|0.000692|False
24|NOUN|anderen|4|0.000692|False
25|NOUN|das|14|0.0288|True
26|NOUN|dem|4|0.0288|True
27|NOUN|den|17|0.0288|True
28|NOUN|der|116|0.0302|True
29|NOUN|des|8|0.0288|True
30|NOUN|die|32|0.0302|True
31|NOUN|dies|15|0.00158|False
32|NOUN|diese|5|0.00158|False
33|NOUN|dieser|3|0.0011|False
34|NOUN|du|4|0.00617|False
35|NOUN|ein|39|0.00813|True
36|NOUN|eine|9|0.00813|True
37|NOUN|einem|7|0.00813|True
38|NOUN|einen|22|0.00813|True
39|NOUN|einer|11|0.00813|True
40|NOUN|erst|2|0.000575|False
41|NOUN|es|15|0.012|True
42|NOUN|etwas|4|0.0008710000000000001|False
43|NOUN|folgend|2|9.55e-05|False
44|NOUN|folgenden|2|9.55e-05|False
45|NOUN|ich|74|0.012|True
46|NOUN|kein|8|0.00145|False
47|NOUN|keine|3|0.00145|False
48|NOUN|man|22|0.00288|True
49|NOUN|mein|17|0.00209|True
50|NOUN|sich|5|0.012|True
51|NOUN|sie|41|0.012|True
52|NOUN|verschieden|2|0.00011200000000000001|False
53|NOUN|verschiedene|2|0.00011200000000000001|False
54|NOUN|viel|6|0.001|False
55|NOUN|vielen|3|0.001|False
56|NOUN|was|3|0.00309|False
57|NOUN|welch|6|0.000355|False
58|NOUN|welche|3|0.000355|False
59|NOUN|welcher|6|0.000355|False
60|NOUN|welches|2|0.000123|False
61|OTHERS|In|4|0.0174|True
62|OTHERS|Stattdessen|2|3.98e-05|False
63|OTHERS|aber|2|0.00427|False
64|OTHERS|als|10|0.00513|False
65|OTHERS|also|2|0.001|False
66|OTHERS|am|6|0.00288|False
67|OTHERS|an|3|0.0049|False
68|OTHERS|an dem|6|0.00288|False
69|OTHERS|auch|13|0.00603|False
70|OTHERS|auf|5|0.00776|True
71|OTHERS|aus|7|0.00398|False
72|OTHERS|bei|13|0.00457|False
73|OTHERS|da|5|0.00234|False
74|OTHERS|dabei|5|0.000631|False
75|OTHERS|dadurch|4|0.000148|False
76|OTHERS|damit|5|0.000912|False
77|OTHERS|dann|5|0.00224|False
78|OTHERS|darauf|4|0.000331|False
79|OTHERS|dass|22|0.0049|True
80|OTHERS|davon|4|0.00038|False
81|OTHERS|dazu|3|0.000513|False
82|OTHERS|doch|3|0.0016600000000000002|False
83|OTHERS|durch|4|0.00182|False
84|OTHERS|einmal|2|0.00045700000000000005|False
85|OTHERS|für|10|0.00759|False
86|OTHERS|gar|2|0.000437|False
87|OTHERS|gerne|4|0.000309|False
88|OTHERS|gut|4|0.00123|False
89|OTHERS|im|8|0.007240000000000001|False
90|OTHERS|in|22|0.0174|True
91|OTHERS|in dem|9|0.007240000000000001|False
92|OTHERS|jedoch|5|0.000363|False
93|OTHERS|mehr|5|0.00214|False
94|OTHERS|mit|14|0.00955|True
95|OTHERS|möglich|3|0.000251|False
96|OTHERS|nach|2|0.00363|False
97|OTHERS|nicht|20|0.0102|True
98|OTHERS|oder|10|0.00316|False
99|OTHERS|ruhig|2|5.75e-05|False
100|OTHERS|schon|3|0.00219|False
101|OTHERS|sehr|6|0.0013800000000000002|False
102|OTHERS|so|9|0.0049|False
103|OTHERS|sondern|3|0.000589|False
104|OTHERS|stattdessen|2|3.98e-05|False
105|OTHERS|um|5|0.00288|False
106|OTHERS|und|64|0.0263|True
107|OTHERS|von|8|0.009770000000000001|True
108|OTHERS|vor|6|0.00204|False
109|OTHERS|völlig|2|0.000145|False
110|OTHERS|wenn|11|0.00324|False
111|OTHERS|wichtig|4|0.000195|False
112|OTHERS|wie|14|0.00447|True
113|OTHERS|wieder|4|0.00151|False
114|OTHERS|zu|36|0.0102|True
115|OTHERS|zu dem|7|0.00368|False
116|OTHERS|zum|7|0.00368|False
117|VERB|achten|2|3.47e-05|False
118|VERB|ansprechen|3|2.14e-05|False
119|VERB|bedeuten|4|0.000123|False
120|VERB|bedeutet|4|0.000123|False
121|VERB|behalten|3|4.1700000000000004e-05|False
122|VERB|beheben|2|5.25e-06|False
123|VERB|beibehalten|3|4.1700000000000004e-05|False
124|VERB|entstehen|3|5.75e-05|False
125|VERB|"er|es|sie"|17|0.00617|True
126|VERB|führen|3|0.00015800000000000002|False
127|VERB|geben|4|0.00115|False
128|VERB|gehen|3|0.000447|False
129|VERB|gehört|2|0.000288|False
130|VERB|gestellt|2|0.00024|False
131|VERB|haben|12|0.00398|True
132|VERB|hat|8|0.00398|False
133|VERB|hören|2|0.000288|False
134|VERB|ist|23|0.012|True
135|VERB|kann|9|0.00251|False
136|VERB|kennen|2|0.000117|False
137|VERB|kommen|3|0.000513|False
138|VERB|können|25|0.00251|True
139|VERB|mein|5|0.00209|False
140|VERB|nehmen|2|0.000282|False
141|VERB|nerven|2|3.16e-05|False
142|VERB|sein|45|0.012|True
143|VERB|sich|18|0.00617|True
144|VERB|sind|11|0.00398|False
145|VERB|sollen|17|0.000575|True
146|VERB|sollte|6|0.000575|False
147|VERB|sollten|10|0.000324|False
148|VERB|stattfinden|2|2.34e-05|False
149|VERB|stellen|4|0.00024|False
150|VERB|unterbrechen|2|1.26e-05|False
151|VERB|werden|37|0.00316|True
152|VERB|wird|16|0.00316|True
153|VERB|äußern|6|2e-05|False
